building_1,location_1,location_2,building_2,assignment
1001,2004,3008,4004,1.0
1001,2004,3008,4005,1.0
1001,2004,3008,4006,1.0
1001,2004,3008,4007,1.0
1001,2004,3008,4008,1.0
1001,2004,3008,4009,1.0
1002,2004,3008,4006,1.0
1002,2004,3008,4008,1.0
1003,2004,3008,4001,1.0
1003,2004,3008,4002,1.0
1003,2004,3008,4004,1.0
1003,2004,3008,4005,1.0
1003,2004,3008,4006,1.0
1003,2004,3008,4007,1.0
1003,2004,3008,4008,1.0
1003,2004,3008,4009,1.0
1004,2004,3008,4002,1.0
1004,2004,3008,4003,1.0
1004,2004,3008,4004,1.0
1004,2004,3008,4005,1.0
1004,2004,3008,4009,1.0
1005,2004,3008,4001,1.0
1005,2004,3008,4006,1.0
1005,2004,3008,4007,1.0
1005,2004,3008,4008,1.0
1006,2004,3008,4001,1.0
1006,2004,3008,4002,1.0
1006,2004,3008,4003,1.0
1006,2004,3008,4005,1.0
1006,2004,3008,4006,1.0
1006,2004,3008,4009,1.0
1007,2004,3008,4001,1.0
1007,2004,3008,4004,1.0
1007,2004,3008,4007,1.0
1007,2004,3008,4009,1.0
1008,2004,3008,4001,1.0
1008,2004,3008,4002,1.0
1008,2004,3008,4003,1.0
1008,2004,3008,4005,1.0
1008,2004,3008,4006,1.0
1008,2004,3008,4008,1.0
1008,2004,3008,4009,1.0
1009,2004,3008,4001,1.0
1009,2004,3008,4003,1.0
1009,2004,3008,4004,1.0
1009,2004,3008,4005,1.0
1009,2004,3008,4006,1.0
1009,2004,3008,4007,1.0
1009,2004,3008,4009,1.0
