link_id,from_node_id,to_node_id,built_cost,trans_cost,link_type,acting_link_id
1,1001,2001,27,0,2,1
2,1001,2002,13,0,2,2
3,1001,2003,12,0,2,3
4,1001,2004,17,0,2,4
5,1001,2005,20,0,2,5
6,1001,2006,11,0,2,6
7,1001,2007,13,0,2,7
8,1001,2008,15,0,2,8
9,1001,2009,22,0,2,9
10,1001,2010,14,0,2,10
11,1001,2011,26,0,2,11
12,1001,2012,11,0,2,12
13,1001,2013,15,0,2,13
14,1001,2014,13,0,2,14
15,1001,2015,13,0,2,15
16,1001,2016,20,0,2,16
17,1002,2001,26,0,2,17
18,1002,2002,18,0,2,18
19,1002,2003,19,0,2,19
20,1002,2004,26,0,2,20
21,1002,2005,27,0,2,21
22,1002,2006,19,0,2,22
23,1002,2007,29,0,2,23
24,1002,2008,12,0,2,24
25,1002,2009,27,0,2,25
26,1002,2010,24,0,2,26
27,1002,2011,24,0,2,27
28,1002,2012,11,0,2,28
29,1002,2013,21,0,2,29
30,1002,2014,25,0,2,30
31,1002,2015,29,0,2,31
32,1002,2016,27,0,2,32
33,1003,2001,24,0,2,33
34,1003,2002,30,0,2,34
35,1003,2003,28,0,2,35
36,1003,2004,29,0,2,36
37,1003,2005,16,0,2,37
38,1003,2006,15,0,2,38
39,1003,2007,22,0,2,39
40,1003,2008,14,0,2,40
41,1003,2009,22,0,2,41
42,1003,2010,27,0,2,42
43,1003,2011,10,0,2,43
44,1003,2012,23,0,2,44
45,1003,2013,25,0,2,45
46,1003,2014,24,0,2,46
47,1003,2015,28,0,2,47
48,1003,2016,27,0,2,48
49,1004,2001,15,0,2,49
50,1004,2002,15,0,2,50
51,1004,2003,22,0,2,51
52,1004,2004,14,0,2,52
53,1004,2005,26,0,2,53
54,1004,2006,14,0,2,54
55,1004,2007,20,0,2,55
56,1004,2008,11,0,2,56
57,1004,2009,29,0,2,57
58,1004,2010,22,0,2,58
59,1004,2011,30,0,2,59
60,1004,2012,12,0,2,60
61,1004,2013,11,0,2,61
62,1004,2014,21,0,2,62
63,1004,2015,16,0,2,63
64,1004,2016,23,0,2,64
65,1005,2001,30,0,2,65
66,1005,2002,28,0,2,66
67,1005,2003,18,0,2,67
68,1005,2004,24,0,2,68
69,1005,2005,29,0,2,69
70,1005,2006,17,0,2,70
71,1005,2007,21,0,2,71
72,1005,2008,10,0,2,72
73,1005,2009,16,0,2,73
74,1005,2010,24,0,2,74
75,1005,2011,10,0,2,75
76,1005,2012,19,0,2,76
77,1005,2013,25,0,2,77
78,1005,2014,24,0,2,78
79,1005,2015,11,0,2,79
80,1005,2016,22,0,2,80
81,1006,2001,17,0,2,81
82,1006,2002,11,0,2,82
83,1006,2003,26,0,2,83
84,1006,2004,10,0,2,84
85,1006,2005,22,0,2,85
86,1006,2006,29,0,2,86
87,1006,2007,30,0,2,87
88,1006,2008,25,0,2,88
89,1006,2009,20,0,2,89
90,1006,2010,20,0,2,90
91,1006,2011,29,0,2,91
92,1006,2012,21,0,2,92
93,1006,2013,22,0,2,93
94,1006,2014,23,0,2,94
95,1006,2015,20,0,2,95
96,1006,2016,20,0,2,96
97,1007,2001,18,0,2,97
98,1007,2002,10,0,2,98
99,1007,2003,21,0,2,99
100,1007,2004,20,0,2,100
101,1007,2005,30,0,2,101
102,1007,2006,26,0,2,102
103,1007,2007,30,0,2,103
104,1007,2008,19,0,2,104
105,1007,2009,27,0,2,105
106,1007,2010,10,0,2,106
107,1007,2011,11,0,2,107
108,1007,2012,18,0,2,108
109,1007,2013,12,0,2,109
110,1007,2014,24,0,2,110
111,1007,2015,22,0,2,111
112,1007,2016,21,0,2,112
113,1008,2001,22,0,2,113
114,1008,2002,18,0,2,114
115,1008,2003,29,0,2,115
116,1008,2004,27,0,2,116
117,1008,2005,15,0,2,117
118,1008,2006,24,0,2,118
119,1008,2007,16,0,2,119
120,1008,2008,15,0,2,120
121,1008,2009,10,0,2,121
122,1008,2010,25,0,2,122
123,1008,2011,10,0,2,123
124,1008,2012,10,0,2,124
125,1008,2013,26,0,2,125
126,1008,2014,20,0,2,126
127,1008,2015,30,0,2,127
128,1008,2016,17,0,2,128
129,1009,2001,16,0,2,129
130,1009,2002,25,0,2,130
131,1009,2003,18,0,2,131
132,1009,2004,26,0,2,132
133,1009,2005,27,0,2,133
134,1009,2006,12,0,2,134
135,1009,2007,26,0,2,135
136,1009,2008,23,0,2,136
137,1009,2009,21,0,2,137
138,1009,2010,18,0,2,138
139,1009,2011,17,0,2,139
140,1009,2012,13,0,2,140
141,1009,2013,16,0,2,141
142,1009,2014,24,0,2,142
143,1009,2015,19,0,2,143
144,1009,2016,19,0,2,144
145,1010,2001,18,0,2,145
146,1010,2002,25,0,2,146
147,1010,2003,21,0,2,147
148,1010,2004,16,0,2,148
149,1010,2005,19,0,2,149
150,1010,2006,14,0,2,150
151,1010,2007,29,0,2,151
152,1010,2008,20,0,2,152
153,1010,2009,13,0,2,153
154,1010,2010,29,0,2,154
155,1010,2011,27,0,2,155
156,1010,2012,24,0,2,156
157,1010,2013,19,0,2,157
