building_1,location_1,location_2,building_2,assignment
1001,2012,3012,4002,6.0
1001,2012,3012,4003,10.0
1001,2012,3012,4004,2.0
1001,2012,3012,4005,1.0
1001,2012,3012,4006,6.0
1001,2012,3012,4007,3.0
1001,2012,3012,4008,8.0
1001,2012,3012,4009,7.0
1001,2012,3012,4010,3.0
1001,2012,3012,4011,8.0
1001,2012,3012,4012,7.0
1001,2012,3012,4013,5.0
1001,2012,3012,4014,5.0
1001,2012,3012,4015,6.0
1001,2012,3012,4016,4.0
1001,2012,3012,4017,7.0
1001,2012,3012,4018,1.0
1001,2012,3012,4019,3.0
1001,2012,3012,4020,6.0
1002,2012,3012,4001,9.0
1002,2012,3012,4002,4.0
1002,2012,3012,4003,7.0
1002,2012,3012,4004,6.0
1002,2012,3012,4005,6.0
1002,2012,3012,4008,1.0
1002,2012,3012,4009,1.0
1002,2012,3012,4010,6.0
1002,2012,3012,4011,6.0
1002,2012,3012,4012,3.0
1002,2012,3012,4013,7.0
1002,2012,3012,4014,9.0
1002,2012,3012,4015,7.0
1002,2012,3012,4016,1.0
1002,2012,3012,4017,7.0
1002,2012,3012,4018,2.0
1002,2012,3012,4019,4.0
1002,2012,3012,4020,10.0
1003,2012,3012,4001,7.0
1003,2012,3012,4002,4.0
1003,2012,3012,4003,3.0
1003,2012,3012,4004,8.0
1003,2012,3012,4005,4.0
1003,2012,3012,4006,4.0
1003,2012,3012,4007,9.0
1003,2012,3012,4009,6.0
1003,2012,3012,4010,2.0
1003,2012,3012,4011,2.0
1003,2012,3012,4012,10.0
1003,2012,3012,4013,3.0
1003,2012,3012,4014,8.0
1003,2012,3012,4015,2.0
1003,2012,3012,4016,4.0
1003,2012,3012,4017,6.0
1003,2012,3012,4019,9.0
1003,2012,3012,4020,6.0
1004,2012,3012,4001,8.0
1004,2012,3012,4002,2.0
1004,2012,3012,4003,1.0
1004,2012,3012,4004,6.0
1004,2012,3012,4006,10.0
1004,2012,3012,4007,5.0
1004,2012,3012,4008,1.0
1004,2012,3012,4009,8.0
1004,2012,3012,4010,8.0
1004,2012,3012,4011,9.0
1004,2012,3012,4012,7.0
1004,2012,3012,4013,4.0
1004,2012,3012,4014,3.0
1004,2012,3012,4015,9.0
1004,2012,3012,4016,9.0
1004,2012,3012,4017,3.0
1004,2012,3012,4018,1.0
1004,2012,3012,4019,10.0
1004,2012,3012,4020,1.0
1005,2012,3012,4001,4.0
1005,2012,3012,4002,7.0
1005,2012,3012,4003,9.0
1005,2012,3012,4004,1.0
1005,2012,3012,4005,1.0
1005,2012,3012,4006,9.0
1005,2012,3012,4007,6.0
1005,2012,3012,4008,9.0
1005,2012,3012,4009,6.0
1005,2012,3012,4010,1.0
