building_1,location_1,assignment
1001,2064,1.0
1002,2061,1.0
1003,2062,1.0
1004,2064,1.0
1005,2064,1.0
1006,2064,1.0
1007,2062,1.0
1008,2064,1.0
1009,2060,1.0
1010,2046,1.0
1011,2062,1.0
1012,2064,1.0
1013,2057,1.0
1014,2051,1.0
1015,2062,1.0
1016,2001,1.0
1017,2064,1.0
1018,2062,1.0
1019,2061,1.0
1020,2064,1.0
1021,2064,1.0
1022,2001,1.0
1023,2055,1.0
1024,2064,1.0
1025,2062,1.0
1026,2063,1.0
1027,2063,1.0
1028,2060,1.0
1029,2063,1.0
1030,2063,1.0
1031,2064,1.0
1032,2042,1.0
1033,2051,1.0
1034,2064,1.0
1035,2064,1.0
1036,2063,1.0
1037,2064,1.0
1038,2048,1.0
1039,2060,1.0
1040,2064,1.0
1041,2063,1.0
1042,2064,1.0
1043,2064,1.0
1044,2064,1.0
1045,2063,1.0
1046,2061,1.0
1047,2064,1.0
1048,2063,1.0
1049,2064,1.0
1050,2063,1.0
