building_2,location_2,assignment
4001,3064,1.0
4002,3064,1.0
4003,3064,1.0
4004,3064,1.0
4005,3063,1.0
4006,3062,1.0
4007,3064,1.0
4008,3064,1.0
4009,3062,1.0
4010,3064,1.0
4011,3064,1.0
4012,3064,1.0
4013,3061,1.0
4014,3063,1.0
4015,3057,1.0
4016,3063,1.0
4017,3040,1.0
4018,3064,1.0
4019,3063,1.0
4020,3064,1.0
4021,3064,1.0
4022,3062,1.0
4023,3064,1.0
4024,3060,1.0
4025,3064,1.0
4026,3062,1.0
4027,3063,1.0
4028,3062,1.0
4029,3064,1.0
4030,3060,1.0
4031,3064,1.0
4032,3064,1.0
4033,3060,1.0
4034,3064,1.0
4035,3059,1.0
4036,3064,1.0
4037,3064,1.0
4038,3043,1.0
4039,3064,1.0
4040,3061,1.0
4041,3064,1.0
4042,3064,1.0
4043,3062,1.0
4044,3063,1.0
4045,3064,1.0
4046,3064,1.0
4047,3064,1.0
4048,3063,1.0
4049,3063,1.0
4050,3064,1.0
