node_name,node_id
building node1,1001
building node1,1002
building node1,1003
building node1,1004
building node1,1005
building node1,1006
building node1,1007
building node1,1008
building node1,1009
building node1,1010
building node1,1011
building node1,1012
building node1,1013
building node1,1014
building node1,1015
building node1,1016
building node1,1017
building node1,1018
building node1,1019
building node1,1020
building node1,1021
building node1,1022
building node1,1023
building node1,1024
building node1,1025
building node1,1026
building node1,1027
building node1,1028
building node1,1029
building node1,1030
location node1,2001
location node1,2002
location node1,2003
location node1,2004
location node1,2005
location node1,2006
location node1,2007
location node1,2008
location node1,2009
location node1,2010
location node1,2011
location node1,2012
location node1,2013
location node1,2014
location node1,2015
location node1,2016
location node1,2017
location node1,2018
location node1,2019
location node1,2020
location node1,2021
location node1,2022
location node1,2023
location node1,2024
location node1,2025
location node2,3001
location node2,3002
location node2,3003
location node2,3004
location node2,3005
location node2,3006
location node2,3007
location node2,3008
location node2,3009
location node2,3010
location node2,3011
location node2,3012
location node2,3013
location node2,3014
location node2,3015
location node2,3016
location node2,3017
location node2,3018
location node2,3019
location node2,3020
location node2,3021
location node2,3022
location node2,3023
location node2,3024
location node2,3025
building node2,4001
building node2,4002
building node2,4003
building node2,4004
building node2,4005
building node2,4006
building node2,4007
building node2,4008
building node2,4009
building node2,4010
building node2,4011
building node2,4012
building node2,4013
building node2,4014
building node2,4015
building node2,4016
building node2,4017
building node2,4018
building node2,4019
building node2,4020
building node2,4021
building node2,4022
building node2,4023
building node2,4024
building node2,4025
building node2,4026
building node2,4027
building node2,4028
building node2,4029
building node2,4030
