building_2,location_2,assignment
4001,3005,1.0
4002,3005,1.0
4003,3005,1.0
4004,3005,1.0
4005,3005,1.0
4006,3005,1.0
4007,3005,1.0
4008,3005,1.0
4009,3005,1.0
4010,3005,1.0
4011,3005,1.0
4012,3005,1.0
4013,3005,1.0
4014,3005,1.0
4015,3005,1.0
4016,3005,1.0
4017,3005,1.0
4018,3005,1.0
4019,3005,1.0
4020,3005,1.0
4021,3005,1.0
4022,3005,1.0
4023,3005,1.0
4024,3005,1.0
4025,3005,1.0
4026,3005,1.0
4027,3005,1.0
4028,3005,1.0
4029,3005,1.0
4030,3005,1.0
4031,3005,1.0
4032,3005,1.0
4033,3005,1.0
4034,3005,1.0
4035,3005,1.0
4036,3005,1.0
4037,3005,1.0
4038,3005,1.0
4039,3005,1.0
4040,3005,1.0
