link_id,from_node_id,to_node_id,built_cost,trans_cost,link_type,acting_link_id
1,1001,2001,1,0,2,1
2,1001,2002,1,0,2,2
3,1001,2003,1,0,2,3
7,1002,2001,1,0,2,7
8,1002,2002,1,0,2,8
9,1002,2003,1,0,2,9
13,1003,2001,1,0,2,13
14,1003,2002,1,0,2,14
15,1003,2003,1,0,2,15
19,1004,2001,1,0,2,19
20,1004,2002,1,0,2,20
21,1004,2003,1,0,2,21
25,1005,2001,1,0,2,25
26,1005,2002,1,0,2,26
27,1005,2003,1,0,2,27
31,1006,2001,1,0,2,31
32,1006,2002,1,0,2,32
33,1006,2003,1,0,2,33
37,3001,4001,1,0,3,37
38,3001,4002,1,0,3,38
39,3001,4003,1,0,3,39
40,3001,4004,1,0,3,40
41,3001,4005,1,0,3,41
42,3001,4006,1,0,3,42
43,3002,4001,1,0,3,43
44,3002,4002,1,0,3,44
45,3002,4003,1,0,3,45
46,3002,4004,1,0,3,46
47,3002,4005,1,0,3,47
48,3002,4006,1,0,3,48
49,3003,4001,1,0,3,49
50,3003,4002,1,0,3,50
51,3003,4003,1,0,3,51
52,3003,4004,1,0,3,52
53,3003,4005,1,0,3,53
54,3003,4006,1,0,3,54
73,2001,3001,0,2,1,73
74,2001,3002,0,3,1,74
75,2001,3003,0,4,1,75
79,2002,3001,0,5,1,79
80,2002,3002,0,2,1,80
81,2002,3003,0,5,1,81
85,2003,3001,0,1,1,85
86,2003,3002,0,2,1,86
87,2003,3003,0,6,1,87
