link_id,from_node_id,to_node_id,built_cost,trans_cost
1,1001,2001,19,0
2,1001,2002,24,0
3,1001,2003,15,0
4,1001,2004,14,0
5,1001,2005,26,0
6,1001,2006,21,0
7,1001,2007,28,0
8,1001,2008,12,0
9,1001,2009,21,0
10,1001,2010,10,0
11,1001,2011,26,0
12,1001,2012,10,0
13,1001,2013,12,0
14,1001,2014,26,0
15,1001,2015,11,0
16,1001,2016,18,0
17,1001,2017,19,0
18,1001,2018,21,0
19,1001,2019,27,0
20,1001,2020,15,0
21,1001,2021,11,0
22,1001,2022,22,0
23,1001,2023,12,0
24,1001,2024,28,0
25,1001,2025,28,0
26,1001,2026,10,0
27,1001,2027,12,0
28,1001,2028,23,0
29,1001,2029,20,0
30,1001,2030,24,0
31,1001,2031,18,0
32,1001,2032,13,0
33,1001,2033,13,0
34,1001,2034,11,0
35,1001,2035,27,0
36,1001,2036,18,0
37,1001,2037,10,0
38,1001,2038,13,0
39,1001,2039,13,0
40,1001,2040,26,0
41,1001,2041,10,0
42,1001,2042,22,0
43,1001,2043,25,0
44,1001,2044,25,0
45,1001,2045,27,0
46,1001,2046,20,0
47,1001,2047,22,0
48,1001,2048,22,0
49,1001,2049,13,0
50,1002,2001,26,0
51,1002,2002,19,0
52,1002,2003,10,0
53,1002,2004,29,0
54,1002,2005,13,0
55,1002,2006,24,0
56,1002,2007,16,0
57,1002,2008,23,0
58,1002,2009,10,0
59,1002,2010,26,0
60,1002,2011,23,0
61,1002,2012,21,0
62,1002,2013,22,0
63,1002,2014,19,0
64,1002,2015,10,0
65,1002,2016,17,0
66,1002,2017,25,0
67,1002,2018,17,0
68,1002,2019,23,0
69,1002,2020,20,0
70,1002,2021,10,0
71,1002,2022,22,0
72,1002,2023,28,0
73,1002,2024,22,0
74,1002,2025,10,0
75,1002,2026,17,0
76,1002,2027,10,0
77,1002,2028,16,0
78,1002,2029,12,0
79,1002,2030,10,0
80,1002,2031,10,0
81,1002,2032,27,0
82,1002,2033,27,0
83,1002,2034,24,0
84,1002,2035,19,0
85,1002,2036,20,0
86,1002,2037,16,0
87,1002,2038,20,0
88,1002,2039,23,0
89,1002,2040,13,0
90,1002,2041,12,0
91,1002,2042,15,0
92,1002,2043,17,0
93,1002,2044,12,0
94,1002,2045,17,0
95,1002,2046,23,0
96,1002,2047,23,0
97,1002,2048,10,0
98,1002,2049,15,0
99,1003,2001,23,0
100,1003,2002,24,0
101,1003,2003,28,0
102,1003,2004,22,0
103,1003,2005,20,0
104,1003,2006,10,0
105,1003,2007,22,0
106,1003,2008,27,0
107,1003,2009,20,0
108,1003,2010,23,0
109,1003,2011,11,0
110,1003,2012,13,0
111,1003,2013,17,0
112,1003,2014,21,0
113,1003,2015,21,0
114,1003,2016,30,0
115,1003,2017,16,0
116,1003,2018,24,0
117,1003,2019,28,0
118,1003,2020,14,0
119,1003,2021,23,0
120,1003,2022,18,0
121,1003,2023,30,0
122,1003,2024,10,0
123,1003,2025,14,0
124,1003,2026,12,0
125,1003,2027,13,0
126,1003,2028,30,0
127,1003,2029,21,0
