building_2,location_2,assignment
4001,3002,1.0
4002,3003,1.0
4003,3003,1.0
4004,3022,1.0
4005,3002,1.0
4006,3002,1.0
4007,3002,1.0
4008,3011,1.0
4009,3002,1.0
4010,3002,1.0
4011,3049,1.0
4012,3003,1.0
4013,3049,1.0
4014,3002,1.0
4015,3002,1.0
4016,3002,1.0
4017,3003,1.0
4018,3049,1.0
4019,3008,1.0
4020,3049,1.0
4021,3002,1.0
4022,3002,1.0
4023,3002,1.0
4024,3002,1.0
4025,3049,1.0
4026,3005,1.0
4027,3004,1.0
4028,3011,1.0
4029,3007,1.0
4030,3002,1.0
4031,3049,1.0
4032,3004,1.0
4033,3002,1.0
4034,3002,1.0
4035,3002,1.0
4036,3009,1.0
4037,3002,1.0
4038,3049,1.0
4039,3004,1.0
4040,3003,1.0
4041,3002,1.0
4042,3002,1.0
4043,3005,1.0
4044,3002,1.0
4045,3003,1.0
4046,3004,1.0
4047,3002,1.0
4048,3006,1.0
4049,3002,1.0
4050,3003,1.0
4051,3002,1.0
4052,3002,1.0
4053,3002,1.0
4054,3003,1.0
4055,3049,1.0
4056,3003,1.0
4057,3002,1.0
4058,3002,1.0
4059,3002,1.0
4060,3001,1.0
