node_name,node_id
building node1,1001
building node1,1002
building node1,1003
building node1,1004
building node1,1005
building node1,1006
building node1,1007
building node1,1008
building node1,1009
building node1,1010
location node1,2001
location node1,2002
location node1,2003
location node1,2004
location node1,2005
location node1,2006
location node1,2007
location node1,2008
location node1,2009
location node1,2010
location node2,3001
location node2,3002
location node2,3003
location node2,3004
location node2,3005
location node2,3006
location node2,3007
location node2,3008
location node2,3009
location node2,3010
building node2,4001
building node2,4002
building node2,4003
building node2,4004
building node2,4005
building node2,4006
building node2,4007
building node2,4008
building node2,4009
building node2,4010
