link_id,from_node_id,to_node_id,built_cost,trans_cost,link_type,acting_link_id
1,1001,2001,1,0,2,1
2,1001,2002,2,0,2,2
3,1001,2003,3,0,2,3
4,1001,2004,4,0,2,4
5,1001,2005,5,0,2,5
6,1001,2006,6,0,2,6
7,1001,2007,7,0,2,7
8,1001,2008,8,0,2,8
9,1001,2009,9,0,2,9
10,1001,2010,9,0,2,10
11,1002,2001,8,0,2,11
12,1002,2002,7,0,2,12
13,1002,2003,6,0,2,13
14,1002,2004,5,0,2,14
15,1002,2005,4,0,2,15
16,1002,2006,3,0,2,16
17,1002,2007,2,0,2,17
18,1002,2008,1,0,2,18
19,1002,2009,1,0,2,19
20,1002,2010,2,0,2,20
21,1003,2001,3,0,2,21
22,1003,2002,4,0,2,22
23,1003,2003,5,0,2,23
24,1003,2004,6,0,2,24
25,1003,2005,7,0,2,25
26,1003,2006,8,0,2,26
27,1003,2007,9,0,2,27
28,1003,2008,9,0,2,28
29,1003,2009,8,0,2,29
30,1003,2010,7,0,2,30
31,1004,2001,6,0,2,31
32,1004,2002,5,0,2,32
33,1004,2003,4,0,2,33
34,1004,2004,3,0,2,34
35,1004,2005,2,0,2,35
36,1004,2006,1,0,2,36
37,1004,2007,1,0,2,37
38,1004,2008,2,0,2,38
39,1004,2009,3,0,2,39
40,1004,2010,4,0,2,40
41,1005,2001,5,0,2,41
42,1005,2002,6,0,2,42
43,1005,2003,7,0,2,43
44,1005,2004,8,0,2,44
45,1005,2005,9,0,2,45
46,1005,2006,9,0,2,46
47,1005,2007,8,0,2,47
48,1005,2008,7,0,2,48
49,1005,2009,6,0,2,49
50,1005,2010,5,0,2,50
51,1006,2001,4,0,2,51
52,1006,2002,3,0,2,52
53,1006,2003,2,0,2,53
54,1006,2004,1,0,2,54
55,1006,2005,1,0,2,55
56,1006,2006,2,0,2,56
57,1006,2007,3,0,2,57
58,1006,2008,4,0,2,58
59,1006,2009,5,0,2,59
60,1006,2010,6,0,2,60
61,1007,2001,7,0,2,61
62,1007,2002,8,0,2,62
63,1007,2003,9,0,2,63
64,1007,2004,9,0,2,64
65,1007,2005,8,0,2,65
66,1007,2006,7,0,2,66
67,1007,2007,6,0,2,67
68,1007,2008,5,0,2,68
69,1007,2009,4,0,2,69
70,1007,2010,3,0,2,70
71,1008,2001,2,0,2,71
72,1008,2002,1,0,2,72
73,1008,2003,9,,2,73
74,1008,2004,8,0,2,74
75,1008,2005,7,0,2,75
76,1008,2006,6,0,2,76
77,1008,2007,5,0,2,77
78,1008,2008,4,0,2,78
79,1008,2009,3,0,2,79
80,1008,2010,2,0,2,80
81,1009,2001,1,0,2,81
82,1009,2002,1,0,2,82
