building_2,location_2,assignment
4001,3034,1.0
4002,3034,1.0
4003,3034,1.0
4004,3034,1.0
4005,3034,1.0
4006,3034,1.0
4007,3034,1.0
4008,3034,1.0
4009,3034,1.0
4010,3034,1.0
4011,3034,1.0
4012,3034,1.0
4013,3034,1.0
4014,3034,1.0
4015,3034,1.0
4016,3034,1.0
4017,3034,1.0
4018,3034,1.0
4019,3034,1.0
4020,3034,1.0
4021,3034,1.0
4022,3034,1.0
4023,3034,1.0
4024,3034,1.0
4025,3034,1.0
4026,3034,1.0
4027,3034,1.0
4028,3034,1.0
4029,3034,1.0
4030,3034,1.0
4031,3034,1.0
4032,3034,1.0
4033,3034,1.0
4034,3034,1.0
4035,3034,1.0
4036,3034,1.0
4037,3034,1.0
4038,3034,1.0
4039,3034,1.0
4040,3034,1.0
4041,3034,1.0
4042,3034,1.0
4043,3034,1.0
4044,3034,1.0
4045,3034,1.0
4046,3034,1.0
4047,3034,1.0
4048,3034,1.0
4049,3034,1.0
4050,3034,1.0
